Date,ANZ,Date,AVH,Date,VGAD
1/24/2022 ,27.55,3/21/2022 ,2.19,1/21/2022 ,87.36
1/25/2022 ,26.56,3/22/2022 ,2.21,1/24/2022 ,86.6
1/27/2022 ,26.86,3/23/2022 ,2.19,1/25/2022 ,85
1/28/2022 ,27.25,3/24/2022 ,2.13,1/27/2022 ,83.72
1/31/2022 ,26.32,3/25/2022 ,2.09,1/28/2022 ,84.88
2/1/2022,26.32,3/28/2022 ,2.07,1/31/2022 ,86.41
2/2/2022,26.68,3/29/2022 ,2.15,2/1/2022,87.52
2/3/2022,26.86,3/30/2022 ,2.3,2/2/2022,88.87
2/4/2022,26.88,3/31/2022 ,2.3,2/3/2022,88.28
2/7/2022,26.36,4/1/2022,2.26,2/4/2022,87.97
2/8/2022,26.75,4/4/2022,2.32,2/7/2022,87.47
2/9/2022,27.2,4/5/2022,2.37,2/8/2022,87.48
2/10/2022,27.49,4/6/2022,2.34,2/9/2022,88.4
2/11/2022,27.6,4/7/2022,2.29,2/10/2022,89.08
2/14/2022 ,27.98,4/8/2022,2.22,2/11/2022,87.23
2/15/2022 ,27.58,4/11/2022,2.28,2/14/2022 ,86.62
2/16/2022 ,27.88,4/12/2022,2.16,2/15/2022 ,85.87
2/17/2022 ,28,4/13/2022 ,2.15,2/16/2022 ,87.22
2/18/2022 ,27.93,4/14/2022 ,2.17,2/17/2022 ,87.02
2/21/2022 ,27.95,4/19/2022 ,2.05,2/18/2022 ,86.31
2/22/2022 ,27.67,4/20/2022 ,2.06,2/21/2022 ,85.58
2/23/2022 ,27.41,4/21/2022 ,2.06,2/22/2022 ,83.74
2/24/2022 ,26.47,4/22/2022 ,2.03,2/23/2022 ,84.77
2/25/2022 ,25.89,4/26/2022 ,1.93,2/24/2022 ,81.42
2/28/2022 ,25.8,4/27/2022 ,1.89,2/25/2022 ,83.43
3/1/2022,25.97,4/28/2022 ,1.82,2/28/2022 ,83.9
3/2/2022,25.41,4/29/2022 ,1.82,3/1/2022,85.27
3/3/2022,25.41,5/2/2022,1.79,3/2/2022,84.19
3/4/2022,25.1,5/3/2022,1.84,3/3/2022,85.16
3/7/2022,24.8,5/4/2022,1.82,3/4/2022,83.52
3/8/2022,24.62,5/5/2022,1.83,3/7/2022,82.03
3/9/2022,24.89,5/6/2022,1.74,3/8/2022,80.75
3/10/2022,25.57,5/9/2022,1.65,3/9/2022,81.24
3/11/2022,25.65,5/10/2022,1.54,3/10/2022,82.88
3/14/2022 ,26.37,5/11/2022,1.6,3/11/2022,82.07
3/15/2022 ,26.48,5/12/2022,1.73,3/14/2022 ,82.31
3/16/2022 ,26.95,5/13/2022 ,1.58,3/15/2022 ,81.49
3/17/2022 ,27.31,5/16/2022 ,1.6,3/16/2022 ,82.7
3/18/2022 ,27.36,5/17/2022 ,1.57,3/17/2022 ,84.78
3/21/2022 ,27.36,5/18/2022 ,1.62,3/18/2022 ,85.23
3/22/2022 ,27.45,5/19/2022 ,1.59,3/21/2022 ,86.36
3/23/2022 ,27.66,5/20/2022 ,1.62,3/22/2022 ,86.4
3/24/2022 ,27.5,5/23/2022 ,1.61,3/23/2022 ,87.76
3/25/2022 ,27.39,5/24/2022 ,1.55,3/24/2022 ,86.84
3/28/2022 ,27.57,5/25/2022 ,1.55,3/25/2022 ,87.69
3/29/2022 ,27.65,5/26/2022 ,1.52,3/28/2022 ,87.49
3/30/2022 ,27.66,5/27/2022 ,1.53,3/29/2022 ,88.47
3/31/2022 ,27.38,5/30/2022 ,1.64,3/30/2022 ,89.15
4/1/2022,26.96,5/31/2022 ,1.6,3/31/2022 ,89
4/4/2022,26.91,6/1/2022,1.62,4/1/2022,88
4/5/2022,26.83,6/2/2022,1.61,4/4/2022,88.27
4/6/2022,27.14,6/3/2022,1.55,4/5/2022,88.65
4/7/2022,27.12,6/6/2022,1.57,4/6/2022,87.74
4/8/2022,27.28,6/7/2022,1.51,4/7/2022,86.72
4/11/2022,27.48,6/8/2022,1.6,4/8/2022,87.35
4/12/2022,27.2,6/9/2022,1.64,4/11/2022,86.55
4/13/2022 ,27.27,6/10/2022,1.64,4/12/2022,85.39
4/14/2022 ,27.2,6/14/2022 ,1.53,4/13/2022 ,86.1
4/19/2022 ,27.53,6/15/2022 ,1.47,4/14/2022 ,86.6
4/20/2022 ,27.69,6/16/2022 ,1.44,4/19/2022 ,85.77
4/21/2022 ,27.78,6/17/2022 ,1.32,4/20/2022 ,86.4
4/22/2022 ,27.56,6/20/2022 ,1.31,4/21/2022 ,86.91
4/26/2022 ,27.4,6/21/2022 ,1.33,4/22/2022 ,85.3
4/27/2022 ,26.7,6/22/2022 ,1.38,4/26/2022 ,83.81
4/28/2022 ,26.88,6/23/2022 ,1.46,4/27/2022 ,81.86
4/29/2022 ,27.08,6/24/2022 ,1.69,4/28/2022 ,82.39
5/2/2022,27.08,6/27/2022 ,1.62,4/29/2022 ,83.59
5/3/2022,27.04,6/28/2022 ,1.58,5/2/2022,81.2
5/4/2022,27.16,6/29/2022 ,1.49,5/3/2022,81.52
5/5/2022,26.7,6/30/2022 ,1.39,5/4/2022,81.87
5/6/2022,26.55,7/1/2022,1.44,5/5/2022,83.73
5/9/2022,25.82,7/4/2022,1.48,5/6/2022,81.07
5/10/2022,25.59,7/5/2022,1.58,5/9/2022,79.47
5/11/2022,25.2,7/6/2022,1.66,5/10/2022,78.24
5/12/2022,24.96,7/7/2022,1.7,5/11/2022,78.23
5/13/2022 ,25.19,7/8/2022,1.73,5/12/2022,76.78
5/16/2022 ,25.38,7/11/2022,1.72,5/13/2022 ,77.74
5/17/2022 ,25.41,7/12/2022,1.6,5/16/2022 ,78.38
5/18/2022 ,25.64,7/13/2022 ,1.67,5/17/2022 ,78.95
5/19/2022 ,25.08,7/14/2022 ,1.7,5/18/2022 ,80
5/20/2022 ,25.3,7/15/2022 ,1.63,5/19/2022 ,77.33
5/23/2022 ,25.11,7/18/2022 ,1.61,5/20/2022 ,77.53
5/24/2022 ,25.17,7/19/2022 ,1.57,5/23/2022 ,78.1
5/25/2022 ,25.43,7/20/2022 ,1.63,5/24/2022 ,77.64
5/26/2022 ,25.33,7/21/2022 ,1.75,5/25/2022 ,78.16
5/27/2022 ,25.48,7/22/2022 ,1.75,5/26/2022 ,78.15
5/30/2022 ,25.57,7/25/2022 ,1.68,5/27/2022 ,79.63
5/31/2022 ,24.84,7/26/2022 ,1.61,5/30/2022 ,82
6/1/2022,25.11,7/27/2022 ,1.59,5/31/2022 ,81.72
6/2/2022,24.77,7/28/2022 ,1.6,6/1/2022,81.12
6/3/2022,24.82,7/29/2022 ,1.61,6/2/2022,80.55
6/6/2022,24.62,8/1/2022,1.66,6/3/2022,82
6/7/2022,24.26,8/2/2022,1.71,6/6/2022,81.19
6/8/2022,23.7,8/3/2022,2.07,6/7/2022,80.61
6/9/2022,23.17,8/4/2022,2.06,6/8/2022,81.66
6/10/2022,22.89,8/5/2022,2.04,6/9/2022,80.86
6/14/2022 ,21.83,8/8/2022,2.31,6/10/2022,79.36
6/15/2022 ,21.43,8/9/2022,2.27,6/14/2022 ,75.28
6/16/2022 ,21.34,8/10/2022,2.2,6/15/2022 ,74.18
6/17/2022 ,20.99,8/11/2022,2.27,6/16/2022 ,74.79
6/20/2022 ,21.22,8/12/2022,1.92,6/17/2022 ,73.18
6/21/2022 ,21.78,8/15/2022 ,1.87,6/20/2022 ,72.8
6/22/2022 ,21.66,8/16/2022 ,1.98,6/21/2022 ,73.79
6/23/2022 ,21.9,8/17/2022 ,1.96,6/22/2022 ,73.55
6/24/2022 ,21.74,8/18/2022 ,1.94,6/23/2022 ,74.06
6/27/2022 ,22.39,8/19/2022 ,1.93,6/24/2022 ,75.06
6/28/2022 ,22.24,8/22/2022 ,1.89,6/27/2022 ,76.81
6/29/2022 ,22.45,8/23/2022 ,1.86,6/28/2022 ,76.95
6/30/2022 ,21.86,8/24/2022 ,1.86,6/29/2022 ,75.43
7/1/2022,21.83,8/25/2022 ,1.9,6/30/2022 ,74.5
7/4/2022,22.1,8/26/2022 ,1.95,7/1/2022,73.82
7/5/2022,22.02,8/29/2022 ,1.88,7/4/2022,74.86
7/6/2022,22.22,8/30/2022 ,1.91,7/5/2022,75.49
7/7/2022,22.62,8/31/2022 ,1.85,7/6/2022,74.65
7/8/2022,22.52,9/1/2022,1.82,7/7/2022,75.63
7/11/2022,22.41,9/2/2022,1.81,7/8/2022,76.22
7/12/2022,22.52,9/5/2022,1.82,7/11/2022,75.93
7/13/2022 ,22.25,9/6/2022,1.83,7/12/2022,75.34
7/14/2022 ,21.76,9/7/2022,1.76,7/13/2022 ,75.34
7/15/2022 ,21.47,9/8/2022,1.82,7/14/2022 ,74.82
7/21/2022 ,21.93,9/9/2022,1.86,7/15/2022 ,74.65
7/22/2022 ,22.59,9/12/2022,1.83,7/18/2022 ,76.26
7/25/2022 ,22.62,9/13/2022 ,1.93,7/19/2022 ,75.63
7/26/2022 ,22.64,9/14/2022 ,1.95,7/20/2022 ,77.53
7/27/2022 ,22.73,9/15/2022 ,1.96,7/21/2022 ,77.93
7/28/2022 ,22.7,9/16/2022 ,1.89,7/22/2022 ,78.06
7/29/2022 ,22.9,9/19/2022 ,1.79,7/25/2022 ,77.58
8/1/2022,22.74,9/20/2022 ,1.74,7/26/2022 ,77.67
8/2/2022,22.81,9/21/2022 ,1.75,7/27/2022 ,77.64
8/3/2022,22.71,9/23/2022 ,1.71,7/28/2022 ,78.63
8/4/2022,22.78,9/26/2022 ,1.64,7/29/2022 ,79.81
8/5/2022,22.95,9/27/2022 ,1.62,8/1/2022,80.24
8/8/2022,22.91,9/28/2022 ,1.69,8/2/2022,79.87
8/9/2022,22.7,9/29/2022 ,1.76,8/3/2022,80
8/10/2022,23.46,9/30/2022 ,1.65,8/4/2022,80.83
8/11/2022,23.9,10/3/2022,1.62,8/5/2022,81.14
8/12/2022,24.02,10/4/2022,1.63,8/8/2022,80.92
8/15/2022 ,24.03,10/5/2022,1.62,8/9/2022,80.86
8/16/2022 ,23.83,10/6/2022,1.59,8/10/2022,80.31
8/17/2022 ,23.87,10/7/2022,1.57,8/11/2022,82.1
8/18/2022 ,23.58,10/10/2022,1.51,8/12/2022,82.02
8/19/2022 ,23.1,10/11/2022,1.5,8/15/2022 ,82.94
8/22/2022 ,22.84,10/12/2022,1.5,8/16/2022 ,83.32
8/23/2022 ,22.45,10/13/2022 ,1.48,8/17/2022 ,83.68
8/24/2022 ,22.81,10/14/2022 ,1.47,8/18/2022 ,82.82
8/25/2022 ,22.86,10/17/2022 ,1.46,8/19/2022 ,82.97
8/26/2022 ,22.96,10/18/2022 ,1.54,8/22/2022 ,81.86
8/29/2022 ,22.44,10/19/2022 ,1.53,8/23/2022 ,80.57
8/30/2022 ,22.57,10/20/2022 ,1.47,8/24/2022 ,80.38
8/31/2022 ,22.83,10/21/2022 ,1.49,8/25/2022 ,81.02
9/1/2022,22.64,10/24/2022 ,1.51,8/26/2022 ,81.34
9/2/2022,22.75,10/25/2022 ,1.52,8/29/2022 ,78.5
9/5/2022,22.63,10/26/2022 ,1.53,8/30/2022 ,79.06
9/6/2022,22.59,10/27/2022 ,1.55,8/31/2022 ,78.58
9/7/2022,22.28,10/28/2022 ,1.49,9/1/2022,77.05
9/8/2022,22.9,10/31/2022 ,1.54,9/2/2022,77.24
9/9/2022,23.02,11/1/2022,1.54,9/5/2022,76.8
9/12/2022,23.33,11/2/2022,1.54,9/6/2022,77.19
9/13/2022 ,23.48,11/3/2022,1.51,9/7/2022,76.39
9/14/2022 ,22.95,11/4/2022,1.51,9/8/2022,77.94
9/15/2022 ,23.74,11/7/2022,1.54,9/9/2022,78.55
9/16/2022 ,23.55,11/8/2022,1.57,9/12/2022,79.62
9/19/2022 ,23.56,11/9/2022,1.71,9/13/2022 ,80.53
9/20/2022 ,23.84,11/10/2022,1.88,9/14/2022 ,77.4
9/21/2022 ,23.6,11/11/2022,1.87,9/15/2022 ,77.61
9/23/2022 ,23.38,11/14/2022 ,2.01,9/16/2022 ,76.3
9/26/2022 ,23.04,11/15/2022 ,2.11,9/19/2022 ,75.8
9/27/2022 ,23.15,11/16/2022 ,2.25,9/20/2022 ,76.88
9/28/2022 ,23.05,11/17/2022 ,2.1,9/21/2022 ,75.68
9/29/2022 ,23.37,11/18/2022 ,2.2,9/23/2022 ,73.9
9/30/2022 ,22.8,11/21/2022 ,2.23,9/26/2022 ,72.03
10/3/2022,22.77,11/22/2022 ,2.1,9/27/2022 ,72.31
10/4/2022,23.9,11/23/2022 ,2.14,9/28/2022 ,71.22
10/5/2022,24.5,11/24/2022 ,2.05,9/29/2022 ,72.69
10/6/2022,24.39,11/25/2022 ,1.95,9/30/2022 ,71.6
10/7/2022,24.29,11/28/2022 ,2,10/3/2022,70.41
10/10/2022,23.9,11/29/2022 ,1.97,10/4/2022,72.9
10/11/2022,23.95,11/30/2022 ,1.89,10/5/2022,74.2
10/12/2022,24.75,12/1/2022,2.04,10/6/2022,74.7
10/13/2022 ,25.27,12/2/2022,2.01,10/7/2022,73.45
10/14/2022 ,25.36,12/5/2022,1.98,10/10/2022,71.52
10/17/2022 ,25.41,12/6/2022,1.94,10/11/2022,70.81
10/18/2022 ,25.65,12/7/2022,1.91,10/12/2022,70.98
10/19/2022 ,25.83,12/8/2022,1.91,10/13/2022 ,70.57
10/20/2022 ,25.83,12/9/2022,1.96,10/14/2022 ,72.62
10/21/2022 ,25.55,12/12/2022,1.96,10/17/2022 ,71.08
10/24/2022 ,25.59,12/13/2022 ,2.1,10/18/2022 ,73.49
10/25/2022 ,25.7,12/14/2022 ,2.06,10/19/2022 ,73.71
10/26/2022 ,25.84,12/15/2022 ,2.1,10/20/2022 ,72.45
10/27/2022 ,24.99,12/16/2022 ,2.06,10/21/2022 ,71.99
10/28/2022 ,25.21,12/19/2022 ,1.99,10/24/2022 ,73.67
10/31/2022 ,25.56,12/20/2022 ,1.94,10/25/2022 ,74.39
11/1/2022,25.96,12/21/2022 ,1.97,10/26/2022 ,75
11/2/2022,25.98,12/22/2022 ,1.99,10/27/2022 ,75.43
11/3/2022,25.68,12/23/2022 ,2.01,10/28/2022 ,74.36
11/4/2022,25.5,12/28/2022 ,1.94,10/31/2022 ,76.14
11/7/2022,24.33,12/29/2022 ,1.89,11/1/2022,76.14
11/8/2022,24.4,12/30/2022 ,1.96,11/2/2022,75.96
11/9/2022,24.55,1/3/2023,1.93,11/3/2022,74.27
11/10/2022,24.28,1/4/2023,1.9,11/4/2022,73.74
11/11/2022,24.64,1/5/2023,1.97,11/7/2022,74.53
11/14/2022 ,24.27,1/6/2023,1.94,11/8/2022,75.17
11/15/2022 ,24.23,1/9/2023,2,11/9/2022,75.62
11/16/2022 ,24.16,1/10/2023,2.08,11/10/2022,74.44
11/17/2022 ,24.31,1/11/2023,2.14,11/11/2022,78.02
11/18/2022 ,24.5,1/12/2023,2.13,11/14/2022 ,78.32
11/21/2022 ,24.76,1/13/2023 ,2.09,11/15/2022 ,78.23
11/22/2022 ,24.67,1/16/2023 ,2.13,11/16/2022 ,78.2
11/23/2022 ,24.73,1/17/2023 ,2.25,11/17/2022 ,77.94
11/24/2022 ,24.65,1/18/2023 ,2.42,11/18/2022 ,77.72
11/25/2022 ,24.82,1/19/2023 ,2.48,11/21/2022 ,77.87
11/28/2022 ,24.72,1/20/2023 ,2.45,11/22/2022 ,77.97
11/29/2022 ,24.91,1/23/2023 ,2.33,11/23/2022 ,78.71
11/30/2022 ,24.74,1/24/2023 ,2.35,11/24/2022 ,79.23
12/1/2022,24.95,1/25/2023 ,2.34,11/28/2022 ,78.74
12/2/2022,24.65,1/27/2023 ,2.49,11/29/2022 ,78.43
12/5/2022,24.57,1/30/2023 ,2.57,11/30/2022 ,78.22
12/6/2022,24.38,1/31/2023 ,2.58,12/1/2022,80.1
12/7/2022,24.03,2/1/2023,2.56,12/2/2022,79.76
12/8/2022,23.59,2/2/2023,2.57,12/5/2022,79.7
12/9/2022,23.64,2/3/2023,2.67,12/6/2022,78.76
12/12/2022,23.54,2/6/2023,2.77,12/7/2022,77.8
12/13/2022 ,24.1,2/7/2023,2.72,12/8/2022,77.34
12/14/2022 ,24.01,2/8/2023,2.82,12/9/2022,78.17
12/15/2022 ,23.9,2/9/2023,2.76,12/12/2022,77.49
12/16/2022 ,23.62,2/10/2023,2.62,12/13/2022 ,78.42
12/19/2022 ,23.72,2/13/2023 ,2.59,12/14/2022 ,79.2
12/20/2022 ,23.79,2/14/2023 ,2.65,12/15/2022 ,78.7
12/21/2022 ,24.11,2/15/2023 ,2.64,12/16/2022 ,76.84
12/22/2022 ,24.01,2/16/2023 ,2.78,12/19/2022 ,76.09
12/23/2022 ,24.07,2/17/2023 ,2.78,12/20/2022 ,74.79
12/28/2022 ,23.69,2/20/2023 ,2.77,12/21/2022 ,75.64
12/29/2022 ,23.6,2/21/2023 ,2.72,12/22/2022 ,76.78
12/30/2022 ,23.66,2/22/2023 ,2.7,12/23/2022 ,75.71
1/3/2023,23.01,2/23/2023 ,2.63,12/28/2022 ,75.75
1/4/2023,23.63,2/24/2023 ,3.16,12/29/2022 ,75
1/5/2023,23.62,2/27/2023 ,3.69,12/30/2022 ,75.99
1/6/2023,23.67,2/28/2023 ,4.04,1/3/2023,75.83
1/9/2023,23.72,3/1/2023,3.86,1/4/2023,75.95
1/10/2023,23.72,3/2/2023,3.91,1/5/2023,76.36
1/11/2023,24.01,3/3/2023,4.06,1/6/2023,76.18
1/12/2023,24.25,3/6/2023,4.23,1/9/2023,77.5
1/13/2023 ,24.49,3/7/2023,4.2,1/10/2023,77.05
1/16/2023 ,24.89,3/8/2023,4.28,1/11/2023,77.79
1/17/2023 ,24.91,3/9/2023,4.35,1/12/2023,78.65
1/18/2023 ,24.79,3/10/2023,4.11,1/13/2023 ,78.75
1/19/2023 ,24.88,3/13/2023 ,3.89,1/16/2023 ,79.24
1/20/2023 ,24.75,3/14/2023 ,3.91,1/17/2023 ,79.01
1/23/2023 ,24.92,3/15/2023 ,4.04,1/18/2023 ,79.29
1/24/2023 ,24.62,3/16/2023 ,3.91,1/19/2023 ,78.26
1/25/2023 ,24.6,3/17/2023 ,4.05,1/20/2023 ,77.93
1/27/2023 ,24.98,3/20/2023 ,3.86,1/23/2023 ,78.83
1/30/2023 ,25.03,3/21/2023 ,3.91,1/24/2023 ,79.77
1/31/2023 ,25.09,3/22/2023 ,4.02,1/25/2023 ,79.37
2/1/2023,25.28,3/23/2023 ,3.89,1/27/2023 ,80.09
2/2/2023,25.16,3/24/2023 ,3.8,1/30/2023 ,80.2
2/3/2023,25.75,3/27/2023 ,3.92,1/31/2023 ,79.61
2/6/2023,25.58,3/28/2023 ,4.12,2/1/2023,80.36
2/7/2023,25.66,3/29/2023 ,4.01,2/2/2023,81.27
2/8/2023,25.79,3/30/2023 ,3.97,2/3/2023,81.83
2/9/2023,25.92,3/31/2023 ,3.93,2/6/2023,81.35
2/10/2023,25.71,4/3/2023,4.05,2/7/2023,81.26
2/13/2023 ,25.7,4/4/2023,4.33,2/8/2023,82.03
2/14/2023 ,25.75,4/5/2023,4.34,2/9/2023,81.51
2/15/2023 ,24.78,4/6/2023,4.35,2/10/2023,80.63
2/16/2023 ,24.92,4/11/2023,4.5,2/13/2023 ,80.42
2/17/2023 ,24.67,4/12/2023,4.75,2/14/2023 ,81.55
2/20/2023 ,24.74,4/13/2023 ,4.74,2/15/2023 ,81.38
2/21/2023 ,24.62,4/14/2023 ,4.53,2/16/2023 ,82.1
2/22/2023 ,24.93,4/17/2023 ,4.61,2/17/2023 ,80.8
2/23/2023 ,24.76,4/18/2023 ,4.5,2/20/2023 ,80.97
2/24/2023 ,24.79,4/19/2023 ,4.37,2/21/2023 ,80.64
2/27/2023 ,24.83,4/20/2023 ,4.29,2/22/2023 ,79.69
2/28/2023 ,24.65,4/21/2023 ,4.24,2/23/2023 ,79.83
3/1/2023,24.37,4/24/2023 ,4.32,2/24/2023 ,79.8
3/2/2023,23.71,4/26/2023 ,4.02,2/27/2023 ,79.1
3/3/2023,23.85,4/27/2023 ,4.28,2/28/2023 ,79.4
3/6/2023,24.2,4/28/2023 ,4.63,3/1/2023,79.17
3/7/2023,24.5,5/1/2023,4.59,3/2/2023,78.62
3/8/2023,24.33,5/2/2023,4.65,3/3/2023,79.36
3/9/2023,24.49,5/3/2023,4.75,3/6/2023,80.69
3/10/2023,23.85,5/4/2023,4.99,3/7/2023,80.74
3/13/2023 ,23.39,5/5/2023,4.76,3/8/2023,79.53
3/14/2023 ,23.04,5/8/2023,4.78,3/9/2023,79.65
3/15/2023 ,23.29,5/9/2023,4.68,3/10/2023,77.8
3/16/2023 ,22.72,5/10/2023,4.64,3/13/2023 ,78.2
3/17/2023 ,22.81,5/11/2023,4.8,3/14/2023 ,76.99
3/20/2023 ,22.49,5/12/2023,4.54,3/15/2023 ,77.96
3/21/2023 ,22.75,5/15/2023 ,3.65,3/16/2023 ,77.33
3/22/2023 ,22.85,5/16/2023 ,3.7,3/17/2023 ,78.32
3/23/2023 ,22.76,5/17/2023 ,3.57,3/20/2023 ,77.19
3/24/2023 ,22.52,5/18/2023 ,3.63,3/21/2023 ,78.06
3/27/2023 ,22.44,5/19/2023 ,3.42,3/22/2023 ,79.14
3/28/2023 ,22.64,5/22/2023 ,3.39,3/23/2023 ,78.39
3/29/2023 ,22.66,5/23/2023 ,3.44,3/24/2023 ,78.18
3/30/2023 ,22.87,5/24/2023 ,3.35,3/27/2023 ,78.73
3/31/2023 ,22.93,5/25/2023 ,3.37,3/28/2023 ,78.7
4/3/2023,23.22,5/26/2023 ,3.3,3/29/2023 ,78.92
4/4/2023,23.27,5/29/2023 ,3.39,3/30/2023 ,79.74
4/5/2023,23.3,5/30/2023 ,3.41,3/31/2023 ,80.41
4/6/2023,23.19,5/31/2023 ,3.44,4/3/2023,80.87
4/11/2023,23.56,6/1/2023,3.6,4/4/2023,81.35
4/12/2023,23.61,6/2/2023,3.8,4/5/2023,80.93
4/13/2023 ,23.77,6/5/2023,4.11,4/6/2023,80.6
4/14/2023 ,23.98,6/6/2023,4.18,4/11/2023,81.25
4/17/2023 ,24.21,6/7/2023,4.29,4/12/2023,81.27
4/18/2023 ,24.2,6/8/2023,4.75,4/13/2023 ,81.1
4/19/2023 ,24.14,6/9/2023,4.83,4/14/2023 ,81.94
4/20/2023 ,24.46,6/13/2023 ,4.88,4/17/2023 ,82.08
4/21/2023 ,24.33,6/14/2023 ,4.8,4/18/2023 ,82.21
4/24/2023 ,24.22,6/15/2023 ,4.9,4/19/2023 ,82.2
4/26/2023 ,24.21,6/16/2023 ,4.99,4/20/2023 ,82.05
4/27/2023 ,24.12,6/19/2023 ,4.8,4/21/2023 ,81.85
4/28/2023 ,24.35,6/20/2023 ,4.73,4/24/2023 ,81.69
5/1/2023,24.52,6/21/2023 ,4.7,4/26/2023 ,81.21
5/2/2023,24.42,6/22/2023 ,4.65,4/27/2023 ,80.85
5/3/2023,24.03,6/23/2023 ,4.82,4/28/2023 ,81.93
5/4/2023,23.46,6/26/2023 ,4.75,5/1/2023,82.59
5/5/2023,23.8,6/27/2023 ,4.59,5/2/2023,82.3
5/8/2023,23.83,6/28/2023 ,4.68,5/3/2023,81.69
5/9/2023,24,6/29/2023 ,5.07,5/4/2023,81.27
5/10/2023,24.11,6/30/2023 ,5.19,5/5/2023,80.95
5/11/2023,24.31,7/3/2023,5.11,5/8/2023,81.89
5/12/2023,24.5,7/4/2023,4.91,5/9/2023,82.08
5/15/2023 ,23.53,7/5/2023,4.83,5/10/2023,81.89
5/16/2023 ,23.54,7/6/2023,4.69,5/11/2023,82.18
5/17/2023 ,23.58,7/7/2023,4.52,5/12/2023,82.14
5/18/2023 ,23.64,7/10/2023,4.5,5/15/2023 ,82.1
5/19/2023 ,23.97,7/11/2023,4.67,5/16/2023 ,82.1
5/22/2023 ,23.79,7/12/2023,4.66,5/17/2023 ,81.84
5/23/2023 ,23.97,7/13/2023 ,4.99,5/18/2023 ,82.49
5/24/2023 ,23.96,7/14/2023 ,5.77,5/19/2023 ,83.27
5/25/2023 ,23.35,7/17/2023 ,5.94,5/22/2023 ,83.17
5/26/2023 ,23.47,7/18/2023 ,5.93,5/23/2023 ,83.31
5/29/2023 ,23.74,7/19/2023 ,5.95,5/24/2023 ,82.28
5/30/2023 ,23.41,7/20/2023 ,5.83,5/25/2023 ,81.85
5/31/2023 ,22.92,7/21/2023 ,5.29,5/26/2023 ,82.1
6/1/2023,22.73,7/24/2023 ,5.55,5/29/2023 ,83.34
6/2/2023,22.77,7/25/2023 ,5.49,5/30/2023 ,83.36
6/5/2023,23.12,7/26/2023 ,5.32,5/31/2023 ,82.42
6/6/2023,22.74,7/27/2023 ,5.49,6/1/2023,82.59
6/7/2023,22.73,7/28/2023 ,5.48,6/2/2023,83.43
6/8/2023,22.68,7/31/2023 ,6.14,6/5/2023,84.34
6/9/2023,22.85,8/1/2023,5.88,6/6/2023,84.22
6/13/2023 ,22.93,8/2/2023,5.75,6/7/2023,84.43
6/14/2023 ,22.92,8/3/2023,5.7,6/8/2023,83.98
6/15/2023 ,23.13,8/4/2023,5.7,6/9/2023,84.49
6/16/2023 ,23.28,8/7/2023,5.62,6/13/2023 ,85.48
6/19/2023 ,23.62,8/8/2023,5.45,6/14/2023 ,85.78
6/20/2023 ,23.8,8/9/2023,5.32,6/15/2023 ,85.78
6/21/2023 ,23.68,8/10/2023,5.47,6/16/2023 ,86.59
6/22/2023 ,23.3,8/11/2023,5.72,6/19/2023 ,86.3
6/23/2023 ,22.82,8/14/2023 ,5.61,6/20/2023 ,86.08
6/26/2023 ,22.77,8/15/2023 ,5.45,6/21/2023 ,85.93
6/27/2023 ,23.12,8/16/2023 ,5.3,6/22/2023 ,85.3
6/28/2023 ,23.43,8/17/2023 ,5.14,6/23/2023 ,85.29
6/29/2023 ,23.71,8/18/2023 ,4.95,6/26/2023 ,85.17
6/30/2023 ,23.71,8/21/2023 ,5.05,6/27/2023 ,85.08
7/3/2023,23.91,8/22/2023 ,5.09,6/28/2023 ,85.65
7/4/2023,24.19,8/23/2023 ,5.23,6/29/2023 ,85.83
7/5/2023,23.99,8/24/2023 ,5.14,6/30/2023 ,86.11
7/6/2023,23.53,8/25/2023 ,5.03,7/3/2023,86.99
7/7/2023,23.28,8/28/2023 ,4.91,7/4/2023,87.02
7/10/2023,23.26,8/29/2023 ,5.04,7/5/2023,86.89
7/11/2023,23.8,8/30/2023 ,5.06,7/6/2023,86.39
7/12/2023,24.02,8/31/2023 ,4.99,7/7/2023,85.64
7/13/2023 ,24.36,9/1/2023,4.93,7/10/2023,85.14
7/14/2023 ,24.44,9/4/2023,4.92,7/11/2023,85.8
7/17/2023 ,24.54,9/5/2023,5,7/12/2023,86.33
7/18/2023 ,24.95,9/6/2023,4.83,7/13/2023 ,87.13
7/19/2023 ,25.46,9/7/2023,4.82,7/14/2023 ,87.53
7/20/2023 ,25.35,9/8/2023,4.9,7/17/2023 ,87.43
7/21/2023 ,25.16,9/11/2023,4.85,7/18/2023 ,87.77
7/24/2023 ,25.12,9/12/2023,5,7/19/2023 ,88.48
7/25/2023 ,25.06,9/13/2023 ,4.8,7/20/2023 ,88.56
7/26/2023 ,25.46,9/14/2023 ,4.81,7/21/2023 ,88.25
7/27/2023 ,25.78,9/15/2023 ,4.97,7/24/2023 ,88.22
7/28/2023 ,25.76,,,7/25/2023 ,88.6
7/31/2023 ,25.75,,,7/26/2023 ,88.8
8/1/2023,25.88,,,7/27/2023 ,88.95
8/2/2023,25.35,,,7/28/2023 ,88.8
8/3/2023,25.26,,,7/31/2023 ,89.18
8/4/2023,25.45,,,8/1/2023,89.48
8/7/2023,25.3,,,8/2/2023,88.65
